epoch,accuracy,loss,val_accuracy,val_loss
0,0.7944605,0.7395251054254431,0.8926365971565247,0.37881170677630227
1,0.93986076,0.19602884306604862,0.9472684264183044,0.19261199005564966
2,0.96210057,0.12838920795631054,0.9269992113113403,0.275401622352055
3,0.9711801,0.09751335093116875,0.947822630405426,0.19202705944309628
4,0.9752863,0.08408432569295939,0.9479809999465942,0.20875832147472106
5,0.9798006,0.06707816210299346,0.9615993499755859,0.16434745643057755
6,0.98263156,0.05673987157905808,0.9680918455123901,0.14614731144509555
7,0.98372823,0.05154830479093144,0.9615993499755859,0.1565057704684169
8,0.9846464,0.05050622667674696,0.9680918455123901,0.1400426872775334
9,0.9865082,0.046072740213460424,0.9678543210029602,0.13259380572176596
10,0.98811495,0.03831447546913335,0.9679334759712219,0.14175005027250132
11,0.9890331,0.03613045581822924,0.9709421992301941,0.12842927766962384
12,0.99030834,0.03366333682023823,0.9699128866195679,0.1335485364362499
13,0.99097145,0.028816841519113047,0.9673000574111938,0.14767550549336195
14,0.9914305,0.0290455847321426,0.9612034559249878,0.1775852879409406
15,0.9923232,0.02611903763874305,0.9679334759712219,0.16624290764745916
16,0.990895,0.027606159004013222,0.9692794680595398,0.14828029868755996
17,0.9929863,0.02368535275400195,0.9701504111289978,0.1504797682320168
18,0.9927823,0.02356509523975284,0.9722090363502502,0.15187296968163963
19,0.9931393,0.021498071405694822,0.9714964628219604,0.14144978808630967
