epoch,accuracy,loss,val_accuracy,val_loss
0,0.764689,0.8557620509370706,0.9511604309082031,0.16629334156965336
1,0.93438965,0.21551333844006904,0.9344555139541626,0.2171332276809843
2,0.9553671,0.1486046918844426,0.9739862084388733,0.08227810586073167
3,0.9660471,0.116885845893617,0.911757230758667,0.3847727821607695
4,0.97159433,0.09353800209273816,0.9852078557014465,0.05775053261388295
5,0.97816175,0.07385744837737768,0.98916095495224,0.03440971580542671
6,0.97978765,0.06558340043912209,0.9873756766319275,0.04353332177931419
7,0.981031,0.06076577863308969,0.9878857731819153,0.04654374498622707
8,0.98482484,0.05070855606424996,0.9901810884475708,0.03306577775981829
9,0.9863232,0.04562172198599865,0.9906911253929138,0.034110064889962224
10,0.98584497,0.0431284008688573,0.9931139945983887,0.022097092069888476
11,0.98839545,0.0370747629986775,0.991838812828064,0.025332975222870403
12,0.98954314,0.03533109577058948,0.9942616820335388,0.020445178722254043
13,0.9902445,0.03402147532865653,0.9904361367225647,0.02961409635785386
14,0.9916154,0.025323336852968163,0.991838812828064,0.02823833006828861
15,0.99104154,0.027244212931357627,0.9933690428733826,0.02884239624457589
16,0.99263555,0.02340625913901709,0.9900535345077515,0.03048982966194776
17,0.99257183,0.023459748812467204,0.9948992729187012,0.020196896251632436
18,0.9932094,0.023597421882894556,0.9914562702178955,0.03147159489063744
19,0.9923805,0.025347896628049076,0.9946442246437073,0.020068373094189962
20,0.9939427,0.020338162748593496,0.9943891763687134,0.025643294683132006
21,0.9929544,0.02178069827677583,0.9966844916343689,0.01622719964214434
22,0.99359196,0.019936077911869285,0.9938791394233704,0.024425340375388495
23,0.99464405,0.01615852874250194,0.9929865002632141,0.026986382181652207
24,0.9943571,0.01713197400630541,0.993751585483551,0.02615500822344896
25,0.99448466,0.017161136517879375,0.9948992729187012,0.021909622722485703
26,0.99566424,0.015152596995469086,0.9952818155288696,0.022176306097697572
27,0.99509037,0.015007786242492271,0.993241548538208,0.033591843211375955
28,0.99560046,0.013974061286451253,0.9954093098640442,0.021629524966101273
29,0.99512225,0.01610308608888756,0.9957919120788574,0.017751711991873576
30,0.99499476,0.01412645477281313,0.9913287162780762,0.0344500092351961
31,0.9953454,0.0153435855106686,0.9956643581390381,0.01890887248006054
32,0.995728,0.014532443783306835,0.9922213554382324,0.03998865093779809
33,0.9958555,0.012404022635772949,0.9942616820335388,0.026754487991690334
34,0.9960149,0.013414738584325363,0.9936240911483765,0.027425217678044615
35,0.9952498,0.01389867201674005,0.9952818155288696,0.017513052744159034
36,0.99547297,0.014940423596658639,0.9960469007492065,0.016507487822978534
37,0.99658877,0.009418457007409536,0.995919406414032,0.01502814938331582
38,0.99678004,0.011399233888034977,0.9956643581390381,0.017093098258244135
39,0.9970351,0.009121851224972255,0.9960469007492065,0.019325973309420288
40,0.9968119,0.010593749027939615,0.9957919120788574,0.01742934152650454
41,0.9968757,0.010601303800683864,0.9955368638038635,0.018538199217663042
42,0.9965569,0.011135766818870534,0.9963019490242004,0.016820344293722006
43,0.997067,0.009206699680984396,0.9929865002632141,0.027354211346855797
44,0.9969076,0.00973987093836357,0.995919406414032,0.020251945437860516
45,0.9970351,0.00984951561260877,0.989670991897583,0.049864974186452235
46,0.9968119,0.011028506888813776,0.9950267672538757,0.02171343744518939
47,0.9968757,0.011057968276256623,0.9948992729187012,0.02343715375775802
48,0.9973858,0.009402904662328262,0.9941341280937195,0.024681736351381035
49,0.99815094,0.006943263046601288,0.9950267672538757,0.023173986059373403
